Date,Taux_Reussite_Migration,Temps_Migration_Jours,Taux_Conformite_Livraisons,Reactivite_Support,Taux_Satisfaction_Utilisateurs,Taux_Respect_Delais_Cadrage_Conception,Taux_Respect_Delais_Parametrage,Taux_Respect_Delais_Test,Nombre_Incidents_Post_VSR,Temps_Reponse_Processus_Global,Temps_Reponse_Processus_A,Temps_Reponse_Processus_B
2024-01-01,87.46,33,88.91,99.51,89.91,90.74,94.85,94.66,8,1.96,0.93,1.26
2024-01-02,96.9,15,86.48,98.13,80.57,81.83,67.97,82.04,0,1.54,0.52,3.4
2024-01-03,79.76,12,94.33,98.02,85.62,80.13,77.76,89.36,4,2.62,2.84,3.42
2024-01-04,98.08,20,94.53,83.88,72.07,85.26,75.39,96.64,8,3.94,1.37,2.49
2024-01-05,75.08,41,87.48,95.74,73.96,81.1,79.02,78.22,0,1.95,2.43,2.87
2024-01-06,78.63,59,94.21,97.5,95.6,84.76,88.01,90.86,6,2.51,2.84,1.92
2024-01-07,87.8,27,93.05,80.95,77.48,95.75,70.22,81.71,4,3.35,0.52,0.2
2024-01-08,74.79,31,90.47,89.3,66.38,96.32,67.88,80.21,8,3.98,0.73,3.7
2024-01-09,80.36,17,82.5,94.61,83.85,82.68,95.66,78.96,9,1.51,1.3,0.25
2024-01-10,71.67,57,86.41,93.31,86.97,71.74,86.01,88.34,0,4.14,0.19,1.86
2024-01-11,76.99,19,99.13,88.7,96.51,91.03,83.53,91.32,8,2.34,2.85,3.09
2024-01-12,82.32,29,81.83,82.38,65.47,70.41,77.22,82.87,2,0.71,2.07,1.83
2024-01-13,78.46,14,92.74,90.46,66.61,88.78,88.56,79.67,2,4.15,1.38,2.93
2024-01-14,80.95,57,84.02,97.18,97.93,77.31,76.29,77.9,4,0.27,1.96,0.54
2024-01-15,92.21,50,83.09,86.8,76.73,80.28,94.42,76.69,0,1.52,1.06,1.64
2024-01-16,70.42,30,99.19,89.38,95.94,76.88,87.1,93.52,3,4.39,1.61,3.18
2024-01-17,84.1,5,94.94,90.77,63.11,99.45,68.8,75.64,3,4.74,0.12,1.74
2024-01-18,80.05,55,98.63,90.0,71.97,89.03,65.36,71.8,8,2.82,2.51,0.58
2024-01-19,76.12,16,87.9,85.16,91.69,85.47,74.33,89.83,0,1.48,1.52,0.22
2024-01-20,92.37,42,81.96,95.63,63.21,71.35,90.64,95.7,9,4.92,2.95,0.87
2024-01-21,86.88,11,99.57,96.1,99.72,82.77,85.8,99.69,7,3.22,2.38,0.51
2024-01-22,85.94,50,81.83,89.61,91.99,79.23,66.8,91.01,6,2.87,2.91,2.14
2024-01-23,71.3,58,95.03,76.19,82.11,83.86,89.78,73.68,1,3.94,1.8,1.61
2024-01-24,93.16,45,93.27,82.33,72.25,85.12,79.32,83.52,5,2.04,1.14,1.69
2024-01-25,96.73,20,86.86,94.98,94.08,76.69,97.12,75.75,9,0.87,2.82,2.83
2024-01-26,71.66,22,88.0,97.46,66.71,97.51,85.59,82.01,8,2.37,0.6,2.61
2024-01-27,86.12,51,88.33,98.61,99.16,79.16,69.33,98.31,7,2.53,2.84,3.17
2024-01-28,76.87,29,86.51,99.06,92.98,77.43,94.43,99.94,4,1.53,2.93,3.65
2024-01-29,97.5,36,86.66,78.62,97.92,89.07,86.13,91.32,1,3.17,2.4,0.94
2024-01-30,80.36,50,89.56,80.97,61.32,78.51,81.99,70.52,2,4.09,1.88,2.17
2024-01-31,75.13,13,94.2,81.91,95.48,89.3,86.12,78.15,2,3.59,2.03,1.95
2024-02-01,84.31,58,81.9,95.39,64.15,97.22,70.61,96.54,2,3.38,1.7,2.91
2024-02-02,79.33,57,82.75,77.43,85.75,75.83,97.96,82.17,2,3.34,1.58,3.67
2024-02-03,81.98,11,80.63,86.69,80.92,85.2,94.79,84.0,6,3.35,2.15,0.51
2024-02-04,91.72,30,96.42,76.43,64.1,73.7,66.25,75.63,3,1.11,2.75,3.34
2024-02-05,73.17,49,83.01,79.43,64.19,79.42,84.67,79.47,7,0.1,2.64,1.19
2024-02-06,99.76,51,97.81,88.31,60.99,90.3,89.59,79.43,4,4.19,2.47,0.67
2024-02-07,97.21,37,83.26,89.84,72.23,77.13,79.72,82.07,3,1.0,2.63,1.21
2024-02-08,71.75,32,86.62,91.58,70.31,84.42,99.83,94.35,2,1.95,2.31,0.62
2024-02-09,81.34,19,81.69,95.96,67.75,89.11,67.81,89.56,3,1.14,0.84,0.16
2024-02-10,89.12,15,83.07,79.92,61.62,75.19,79.03,78.27,2,0.94,2.48,2.6
2024-02-11,89.55,36,86.57,81.57,60.15,87.3,89.26,71.0,8,1.87,2.26,3.41
2024-02-12,89.49,54,80.26,95.63,61.2,79.89,95.62,95.86,7,1.96,0.23,1.87
2024-02-13,87.49,13,96.66,99.27,62.24,81.76,96.25,71.96,0,1.69,2.61,3.96
2024-02-14,99.74,6,96.72,96.3,99.36,72.9,93.81,79.81,0,3.21,1.19,2.7
2024-02-15,85.87,31,91.69,96.28,83.08,79.14,87.29,81.11,4,1.7,2.57,2.15
2024-02-16,94.62,7,96.72,96.62,72.77,74.55,76.33,93.08,9,1.69,0.42,3.95
2024-02-17,95.55,21,95.24,76.61,96.43,87.88,85.75,93.73,2,2.09,0.31,3.84
2024-02-18,98.32,59,88.37,96.49,83.49,83.3,68.25,97.36,8,2.09,2.64,3.69
2024-02-19,91.5,24,98.62,80.77,88.6,98.94,74.1,73.79,2,2.47,1.56,3.9
2024-02-20,75.5,15,99.41,78.88,73.07,71.94,82.32,98.12,0,3.26,1.88,3.08
2024-02-21,70.71,46,94.08,86.45,95.39,72.58,80.0,78.77,1,0.79,0.68,2.2
2024-02-22,94.67,12,87.55,99.13,62.95,92.26,75.0,97.19,4,4.12,0.17,1.09
2024-02-23,79.61,12,80.73,87.91,64.58,88.97,74.17,70.69,4,0.34,2.92,0.53
2024-02-24,73.63,8,94.23,98.37,74.81,78.2,67.83,86.8,8,0.27,2.7,3.87
2024-02-25,74.92,12,93.51,90.3,94.52,99.22,65.16,92.93,3,2.73,1.8,1.4
2024-02-26,82.77,42,92.01,78.17,69.64,98.81,87.02,78.6,4,1.02,1.24,1.99
2024-02-27,89.63,55,88.15,75.34,60.01,75.28,67.58,72.51,0,0.76,1.74,0.23
2024-02-28,74.73,18,91.56,96.11,96.73,77.66,97.07,99.0,5,3.62,1.07,2.15
2024-02-29,75.46,23,86.38,84.28,90.86,86.95,79.78,77.85,8,4.09,0.51,0.36
2024-03-01,87.9,28,97.83,89.91,75.39,86.28,82.0,94.02,2,3.04,0.42,2.55
2024-03-02,73.54,12,80.15,90.69,79.94,79.8,74.45,75.42,8,4.06,2.7,0.42
2024-03-03,81.71,41,88.94,88.75,67.45,92.68,73.06,87.43,3,2.87,1.25,0.29
2024-03-04,94.05,18,89.27,98.64,76.45,92.57,71.26,98.61,0,2.73,2.88,2.69
2024-03-05,85.18,47,90.34,78.48,95.85,85.21,80.0,98.02,9,4.76,1.81,1.4
2024-03-06,96.24,14,99.06,81.59,87.0,85.65,66.06,79.06,4,1.49,1.47,2.05
2024-03-07,77.83,57,97.6,90.18,67.44,88.24,73.27,78.1,7,3.24,0.5,0.3
2024-03-08,76.77,32,85.49,86.31,78.25,84.68,65.38,77.9,2,3.01,2.38,0.65
2024-03-09,76.44,17,83.09,87.92,95.01,88.28,74.61,78.77,0,3.45,2.51,3.2
2024-03-10,93.67,19,81.97,88.54,91.24,78.87,76.08,95.91,7,3.99,0.59,0.14
2024-03-11,99.81,49,99.82,90.23,90.88,75.68,77.87,85.51,6,1.93,1.38,0.41
2024-03-12,90.38,52,88.56,93.23,89.78,82.8,79.79,72.46,0,2.5,1.94,2.33
2024-03-13,97.53,38,87.08,77.3,83.59,93.83,69.78,80.39,5,1.15,2.05,0.26
2024-03-14,78.33,57,90.22,78.25,61.83,84.81,74.97,70.81,0,3.18,2.99,2.68
2024-03-15,78.62,37,83.48,79.48,65.69,70.14,76.45,92.6,3,0.64,1.86,2.09
2024-03-16,82.04,40,88.66,81.07,94.53,87.63,96.21,86.29,3,1.1,2.32,3.24
2024-03-17,78.28,44,93.84,94.29,93.61,96.38,94.86,97.61,9,1.21,0.21,0.19
2024-03-18,82.04,37,93.95,78.91,97.17,75.49,94.48,86.85,4,4.16,2.52,3.0
2024-03-19,70.24,31,82.49,90.94,78.08,88.84,68.56,70.36,4,2.42,1.07,1.31
2024-03-20,89.49,42,89.85,90.73,75.62,83.94,70.49,87.69,4,2.86,1.23,0.58
2024-03-21,96.33,57,86.68,78.1,98.78,82.58,78.43,87.01,9,1.33,1.79,1.5
2024-03-22,84.69,26,97.35,78.23,95.87,99.28,76.58,73.52,0,0.97,0.19,3.35
2024-03-23,72.48,45,80.92,91.07,99.54,81.35,85.87,99.15,8,4.11,1.03,0.36
2024-03-24,99.76,49,96.25,87.04,72.73,73.19,90.64,73.77,1,3.15,2.13,0.44
2024-03-25,98.1,27,86.86,77.39,79.64,97.08,90.81,86.13,7,0.39,1.42,0.29
2024-03-26,87.69,43,85.24,83.81,77.79,94.1,82.4,82.85,9,2.63,1.66,1.76
2024-03-27,78.38,26,84.19,94.21,98.19,95.88,65.67,87.91,2,3.28,2.9,2.85
2024-03-28,71.28,9,81.24,83.81,89.85,91.65,83.66,70.51,7,3.3,2.35,1.03
2024-03-29,88.31,30,92.42,80.5,89.55,87.19,96.42,95.13,8,0.83,0.81,3.94
2024-03-30,75.78,31,98.16,95.59,74.85,95.87,98.16,85.97,5,0.59,2.96,0.55
2024-03-31,89.49,50,96.37,99.06,89.26,89.8,72.26,87.12,7,1.78,1.05,1.32
2024-04-01,90.44,17,80.35,76.08,75.7,85.7,99.44,74.77,1,2.21,0.52,3.26
2024-04-02,88.16,56,92.63,91.13,79.5,70.03,79.3,81.34,7,2.0,0.48,0.84
2024-04-03,91.78,19,96.27,96.55,97.63,72.6,71.12,74.97,9,3.03,1.72,3.41
